[run number],change-chance,max-tick,veg-chance,offspring,weighted-estimate,quartile-size,[step],count patches with [pcolor = green],count patches with [pcolor = 16],count patches with [pcolor = 85],count patches with [pcolor = 126]
6,0.25,100,0.015,1,false,0.25,99,1164,254,286,796
7,0.25,100,0.015,1,false,0.25,99,1172,313,302,713
3,0.25,100,0.015,1,false,0.25,99,1241,280,290,689
2,0.25,100,0.015,1,false,0.25,99,1182,298,288,732
4,0.25,100,0.015,1,false,0.25,99,1188,233,303,776
5,0.25,100,0.015,1,false,0.25,99,1149,259,334,758
1,0.25,100,0.015,1,false,0.25,99,1178,239,285,798
9,0.25,100,0.015,1,false,0.25,99,1129,231,310,830
8,0.25,100,0.015,1,false,0.25,99,1189,296,283,732
12,0.25,100,0.015,1,true,0.25,99,1042,154,353,950
10,0.25,100,0.015,1,false,0.25,99,1203,270,294,733
11,0.25,100,0.015,1,true,0.25,99,1111,158,309,922
15,0.25,100,0.015,1,true,0.25,99,1067,118,331,984
14,0.25,100,0.015,1,true,0.25,99,1062,176,321,941
13,0.25,100,0.015,1,true,0.25,99,1076,132,338,954
16,0.25,100,0.015,1,true,0.25,99,1009,145,376,970
17,0.25,100,0.015,1,true,0.25,99,1020,159,383,938
18,0.25,100,0.015,1,true,0.25,99,1079,173,336,912
19,0.25,100,0.015,1,true,0.25,99,1047,211,337,905
20,0.25,100,0.015,1,true,0.25,99,1078,210,324,888
